"symbol"
"FGF-2"
"CXCL11"
"IFN gamma"
"IL-1 alpha"
"IL-1 beta"
"IL-10"
"IL-13"
"IL-17A"
"IL-18"
"IL-6"
"IL-8"
"IP-10"
"MCP-1"
"MIG"
"MIP-1 alpha"
"MMP-1"
"MMP-7"
"MMP-9"
"PDGF-BB"
"SDF-1 alpha"
"TNF alpha"
"VEGF-R2"
